,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date
25157,25158,2016,1,13,5,12.0,23.0,7.0,36.0,500.0,29.0,-5.4,1021.6,-24.3,0.0,ENE,1.5,Dongsi,2016-01-13 05:00:00
25158,25159,2016,1,13,6,10.0,19.0,8.0,41.0,600.0,28.0,-5.9,1021.3,-24.3,0.0,NE,1.5,Dongsi,2016-01-13 06:00:00
25159,25160,2016,1,13,7,7.0,24.0,9.0,48.0,500.0,20.0,-5.8,1021.1,-24.2,0.0,NE,1.5,Dongsi,2016-01-13 07:00:00
25160,25161,2016,1,13,8,16.0,39.0,12.0,65.0,1000.0,6.0,-6.3,1021.4,-23.6,0.0,NE,1.4,Dongsi,2016-01-13 08:00:00
25161,25162,2016,1,13,9,14.0,45.0,16.0,68.0,1000.0,8.0,-4.7,1022.1,-24.9,0.0,N,1.0,Dongsi,2016-01-13 09:00:00
25162,25163,2016,1,13,10,19.0,39.0,16.0,47.0,600.0,28.0,-3.9,1022.1,-24.8,0.0,NE,1.4,Dongsi,2016-01-13 10:00:00
25163,25164,2016,1,13,11,20.0,20.0,13.0,41.0,700.0,36.0,-2.6,1021.3,-23.7,0.0,E,1.8,Dongsi,2016-01-13 11:00:00
25164,25165,2016,1,13,12,22.0,35.0,12.0,35.0,800.0,44.0,-1.8,1020.3,-23.1,0.0,ESE,1.1,Dongsi,2016-01-13 12:00:00
25165,25166,2016,1,13,13,12.0,28.0,10.0,22.0,600.0,60.0,0.9,1018.9,-26.4,0.0,NW,4.7,Dongsi,2016-01-13 13:00:00
25166,25167,2016,1,13,14,13.0,45.0,9.0,14.0,500.0,74.0,1.1,1017.8,-26.2,0.0,NW,6.7,Dongsi,2016-01-13 14:00:00
25167,25168,2016,1,13,15,15.0,55.0,11.0,20.0,500.0,65.0,1.8,1017.7,-25.6,0.0,NW,3.5,Dongsi,2016-01-13 15:00:00
25168,25169,2016,1,13,16,12.0,52.0,10.0,22.0,500.0,62.0,2.1,1017.5,-25.4,0.0,NW,2.4,Dongsi,2016-01-13 16:00:00
25169,25170,2016,1,13,17,23.0,60.0,13.0,48.0,800.0,38.0,1.3,1017.6,-24.2,0.0,WNW,3.8,Dongsi,2016-01-13 17:00:00
25170,25171,2016,1,13,18,38.0,70.0,14.0,67.0,1000.0,14.0,0.9,1018.0,-22.9,0.0,W,2.6,Dongsi,2016-01-13 18:00:00
25171,25172,2016,1,13,19,45.0,72.0,14.0,63.0,1100.0,17.0,0.7,1018.1,-22.3,0.0,WNW,2.5,Dongsi,2016-01-13 19:00:00
25172,25173,2016,1,13,20,33.0,57.0,14.0,66.0,1400.0,15.0,-2.1,1018.6,-21.6,0.0,NE,1.4,Dongsi,2016-01-13 20:00:00
25173,25174,2016,1,13,21,33.0,63.0,18.0,77.0,1300.0,6.0,-3.0,1018.8,-21.3,0.0,NE,1.1,Dongsi,2016-01-13 21:00:00
25174,25175,2016,1,13,22,41.0,64.0,17.0,78.0,2600.0,2.0,-4.7,1019.0,-18.6,0.0,SSW,0.9,Dongsi,2016-01-13 22:00:00
25175,25176,2016,1,13,23,36.0,50.0,17.0,79.0,1500.0,2.0,-5.7,1018.9,-18.8,0.0,E,0.3,Dongsi,2016-01-13 23:00:00
25176,25177,2016,1,14,0,37.0,49.0,15.0,77.0,1600.0,2.0,-6.9,1018.6,-18.9,0.0,S,0.6,Dongsi,2016-01-14 00:00:00
25177,25178,2016,1,14,1,41.0,60.0,16.0,75.0,1800.0,2.0,-6.3,1018.5,-17.1,0.0,SSW,0.7,Dongsi,2016-01-14 01:00:00
25178,25179,2016,1,14,2,35.0,63.0,13.0,74.0,2000.0,2.0,-5.4,1018.6,-17.5,0.0,NNW,0.7,Dongsi,2016-01-14 02:00:00
25179,25180,2016,1,14,3,46.0,73.0,24.0,76.0,1600.0,2.0,-5.0,1018.3,-17.5,0.0,WNW,0.9,Dongsi,2016-01-14 03:00:00
25180,25181,2016,1,14,4,52.0,66.0,21.0,71.0,1000.0,4.0,-5.6,1017.8,-17.4,0.0,E,0.7,Dongsi,2016-01-14 04:00:00
25181,25182,2016,1,14,5,33.0,47.0,13.0,52.0,1000.0,18.0,-5.2,1017.5,-18.6,0.0,NW,1.9,Dongsi,2016-01-14 05:00:00
25182,25183,2016,1,14,6,20.0,40.0,10.0,58.0,1000.0,12.0,-6.4,1017.5,-17.8,0.0,E,0.9,Dongsi,2016-01-14 06:00:00
25183,25184,2016,1,14,7,37.0,67.0,16.0,70.0,2500.0,5.0,-7.6,1017.7,-18.0,0.0,ENE,0.9,Dongsi,2016-01-14 07:00:00
25184,25185,2016,1,14,8,69.0,111.0,26.0,80.0,2800.0,4.0,-7.9,1017.9,-17.3,0.0,ENE,1.3,Dongsi,2016-01-14 08:00:00
25185,25186,2016,1,14,9,116.0,170.0,43.0,92.0,3500.0,5.0,-5.0,1018.0,-15.1,0.0,E,0.7,Dongsi,2016-01-14 09:00:00
25186,25187,2016,1,14,10,117.0,145.0,31.0,85.0,2400.0,9.0,-1.6,1018.0,-15.8,0.0,E,1.1,Dongsi,2016-01-14 10:00:00
25187,25188,2016,1,14,11,98.0,109.0,24.0,58.0,1700.0,31.0,1.0,1017.5,-16.0,0.0,ENE,0.8,Dongsi,2016-01-14 11:00:00
25188,25189,2016,1,14,12,86.0,95.0,19.0,43.0,1300.0,50.0,3.0,1016.1,-21.2,0.0,WNW,2.5,Dongsi,2016-01-14 12:00:00
25189,25190,2016,1,14,13,104.0,118.0,23.0,44.0,1400.0,54.0,3.1,1015.1,-21.9,0.0,WSW,2.6,Dongsi,2016-01-14 13:00:00
25190,25191,2016,1,14,14,91.0,98.0,20.0,43.0,1200.0,52.0,3.4,1014.4,-21.7,0.0,NW,1.2,Dongsi,2016-01-14 14:00:00
25191,25192,2016,1,14,15,51.0,62.0,15.0,35.0,800.0,58.0,4.7,1014.3,-21.5,0.0,S,0.8,Dongsi,2016-01-14 15:00:00
25192,25193,2016,1,14,16,37.0,48.0,12.0,27.0,800.0,60.0,4.5,1014.4,-20.0,0.0,N,1.0,Dongsi,2016-01-14 16:00:00
25193,25194,2016,1,14,17,51.0,75.0,17.0,53.0,1500.0,36.0,2.7,1014.5,-20.0,0.0,WSW,1.1,Dongsi,2016-01-14 17:00:00
25194,25195,2016,1,14,18,88.0,125.0,23.0,84.0,1700.0,12.0,-0.7,1014.9,-18.3,0.0,S,0.5,Dongsi,2016-01-14 18:00:00
25195,25196,2016,1,14,19,99.0,138.0,28.0,85.0,1800.0,9.0,-0.6,1015.1,-18.7,0.0,W,1.7,Dongsi,2016-01-14 19:00:00
25196,25197,2016,1,14,20,104.0,136.0,29.0,81.0,1700.0,11.0,-1.2,1015.1,-17.9,0.0,W,1.9,Dongsi,2016-01-14 20:00:00
25197,25198,2016,1,14,21,109.0,136.0,32.0,86.0,1700.0,6.0,-1.1,1015.0,-17.8,0.0,W,1.9,Dongsi,2016-01-14 21:00:00
25198,25199,2016,1,14,22,125.0,152.0,33.0,94.0,2200.0,4.0,-0.4,1014.9,-18.6,0.0,W,2.0,Dongsi,2016-01-14 22:00:00
25199,25200,2016,1,14,23,133.0,146.0,36.0,97.0,3000.0,3.0,-3.9,1015.1,-16.5,0.0,E,1.2,Dongsi,2016-01-14 23:00:00
25200,25201,2016,1,15,0,142.0,150.0,49.0,109.0,2400.0,3.0,-5.3,1014.9,-15.7,0.0,N,0.7,Dongsi,2016-01-15 00:00:00
25201,25202,2016,1,15,1,146.0,158.0,39.0,103.0,3800.0,3.0,-5.0,1014.6,-14.1,0.0,NW,0.8,Dongsi,2016-01-15 01:00:00
25202,25203,2016,1,15,2,171.0,196.0,48.0,105.0,4400.0,4.0,-5.0,1014.5,-15.1,0.0,SW,0.9,Dongsi,2016-01-15 02:00:00
25203,25204,2016,1,15,3,170.0,203.0,52.0,106.0,5500.0,4.0,-5.8,1014.5,-14.6,0.0,ENE,1.0,Dongsi,2016-01-15 03:00:00
25204,25205,2016,1,15,4,170.0,197.0,50.0,111.0,5500.0,4.0,-6.7,1014.0,-13.4,0.0,SSE,0.6,Dongsi,2016-01-15 04:00:00
25205,25206,2016,1,15,5,148.0,165.0,38.0,100.0,5700.0,3.0,-7.9,1013.7,-14.1,0.0,SW,0.2,Dongsi,2016-01-15 05:00:00
25206,25207,2016,1,15,6,122.0,134.0,34.0,97.0,4200.0,3.0,-8.1,1013.8,-14.9,0.0,ESE,1.1,Dongsi,2016-01-15 06:00:00
25207,25208,2016,1,15,7,84.0,107.0,32.0,92.0,3400.0,3.0,-8.1,1013.9,-15.3,0.0,SE,1.1,Dongsi,2016-01-15 07:00:00
25208,25209,2016,1,15,8,93.0,126.0,32.0,90.0,3400.0,3.0,-8.5,1014.6,-15.1,0.0,ESE,1.0,Dongsi,2016-01-15 08:00:00
25209,25210,2016,1,15,9,67.0,94.0,21.0,77.0,2400.0,4.0,-4.6,1015.1,-14.5,0.0,E,1.4,Dongsi,2016-01-15 09:00:00
25210,25211,2016,1,15,10,45.0,63.0,17.0,62.0,1500.0,8.0,-2.8,1015.4,-14.9,0.0,E,1.3,Dongsi,2016-01-15 10:00:00
25211,25212,2016,1,15,11,36.0,54.0,12.0,56.0,1100.0,17.0,-0.4,1015.1,-15.5,0.0,ENE,1.6,Dongsi,2016-01-15 11:00:00
25212,25213,2016,1,15,12,50.0,69.0,14.0,62.0,1400.0,19.0,1.3,1013.9,-15.7,0.0,SE,1.2,Dongsi,2016-01-15 12:00:00
25213,25214,2016,1,15,13,51.0,62.0,15.0,47.0,1100.0,34.0,2.3,1012.7,-16.2,0.0,ESE,1.8,Dongsi,2016-01-15 13:00:00
25214,25215,2016,1,15,14,57.0,83.0,16.0,62.0,1300.0,30.0,3.6,1012.2,-17.3,0.0,S,1.5,Dongsi,2016-01-15 14:00:00
25215,25216,2016,1,15,15,63.0,90.0,20.0,66.0,1700.0,29.0,3.2,1012.0,-17.7,0.0,E,2.3,Dongsi,2016-01-15 15:00:00
25216,25217,2016,1,15,16,78.0,106.0,24.0,68.0,1600.0,30.0,2.7,1012.3,-18.1,0.0,ESE,1.7,Dongsi,2016-01-15 16:00:00
25217,25218,2016,1,15,17,85.0,120.0,25.0,74.0,2000.0,25.0,2.2,1012.8,-17.4,0.0,SE,1.4,Dongsi,2016-01-15 17:00:00
25218,25219,2016,1,15,18,95.0,117.0,26.0,73.0,1800.0,24.0,0.9,1012.7,-16.5,0.0,SE,0.7,Dongsi,2016-01-15 18:00:00
25219,25220,2016,1,15,19,99.0,136.0,31.0,89.0,2100.0,10.0,0.1,1013.6,-15.1,0.0,NE,0.2,Dongsi,2016-01-15 19:00:00
25220,25221,2016,1,15,20,106.0,138.0,32.0,90.0,2600.0,6.0,-1.5,1014.2,-14.3,0.0,E,0.4,Dongsi,2016-01-15 20:00:00
25221,25222,2016,1,15,21,106.0,132.0,32.0,88.0,2400.0,6.0,-1.7,1014.7,-14.8,0.0,E,1.1,Dongsi,2016-01-15 21:00:00
25222,25223,2016,1,15,22,167.0,225.0,72.0,102.0,2700.0,4.0,-0.2,1015.4,-9.6,0.0,SE,1.4,Dongsi,2016-01-15 22:00:00
25223,25224,2016,1,15,23,216.0,260.0,55.0,98.0,3300.0,3.0,-1.1,1016.0,-6.9,0.0,ESE,2.4,Dongsi,2016-01-15 23:00:00
25224,25225,2016,1,16,0,219.0,226.0,35.0,85.0,2700.0,2.0,-1.9,1016.2,-5.4,0.0,ESE,2.1,Dongsi,2016-01-16 00:00:00
25225,25226,2016,1,16,1,173.0,173.0,28.0,68.0,2800.0,2.0,-2.3,1016.3,-5.3,0.0,E,2.6,Dongsi,2016-01-16 01:00:00
25226,25227,2016,1,16,2,135.0,135.0,33.0,65.0,2500.0,2.0,-2.6,1016.8,-6.8,0.0,ESE,2.2,Dongsi,2016-01-16 02:00:00
25227,25228,2016,1,16,3,120.0,133.0,55.0,67.0,2300.0,2.0,-2.9,1017.3,-9.2,0.0,SE,1.2,Dongsi,2016-01-16 03:00:00
25228,25229,2016,1,16,4,106.0,126.0,58.0,63.0,2600.0,2.0,-3.2,1017.3,-10.3,0.0,ESE,0.5,Dongsi,2016-01-16 04:00:00
25229,25230,2016,1,16,5,88.0,111.0,65.0,72.0,2700.0,3.0,-3.4,1017.6,-11.6,0.0,WSW,0.4,Dongsi,2016-01-16 05:00:00
25230,25231,2016,1,16,6,92.0,117.0,60.0,73.0,3000.0,3.0,-3.1,1017.8,-12.3,0.0,SSE,0.7,Dongsi,2016-01-16 06:00:00
25231,25232,2016,1,16,7,87.0,114.0,58.0,72.0,3000.0,4.0,-3.3,1018.4,-12.8,0.0,SE,1.0,Dongsi,2016-01-16 07:00:00
25232,25233,2016,1,16,8,89.0,119.0,56.0,73.0,2900.0,3.0,-3.4,1019.0,-12.9,0.0,E,0.8,Dongsi,2016-01-16 08:00:00
25233,25234,2016,1,16,9,91.0,123.0,53.0,72.0,2900.0,4.0,-3.4,1019.9,-13.4,0.0,SSE,1.1,Dongsi,2016-01-16 09:00:00
25234,25235,2016,1,16,10,105.0,143.0,56.0,73.0,2700.0,5.0,-3.1,1020.0,-13.4,0.0,S,1.4,Dongsi,2016-01-16 10:00:00
25235,25236,2016,1,16,11,107.0,140.0,52.0,70.0,2700.0,8.0,-2.8,1020.3,-13.7,0.0,SSE,1.2,Dongsi,2016-01-16 11:00:00
25236,25237,2016,1,16,12,98.0,122.0,50.0,62.0,2500.0,16.0,-2.3,1019.6,-13.8,0.0,SE,1.3,Dongsi,2016-01-16 12:00:00
25237,25238,2016,1,16,13,95.0,108.0,47.0,53.0,2000.0,27.0,-2.3,1018.7,-13.2,0.0,ESE,1.9,Dongsi,2016-01-16 13:00:00
25238,25239,2016,1,16,14,112.0,133.0,46.0,61.0,2000.0,19.0,-1.8,1018.5,-12.5,0.0,SSE,1.3,Dongsi,2016-01-16 14:00:00
25239,25240,2016,1,16,15,113.0,135.0,47.0,64.0,2500.0,16.0,-2.2,1018.4,-12.3,0.0,SSE,1.5,Dongsi,2016-01-16 15:00:00
25240,25241,2016,1,16,16,120.0,147.0,47.0,70.0,2600.0,11.0,-2.6,1018.5,-12.4,0.0,S,2.0,Dongsi,2016-01-16 16:00:00
25241,25242,2016,1,16,17,133.0,168.0,44.0,76.0,2600.0,6.0,-2.8,1018.8,-11.1,0.0,S,1.3,Dongsi,2016-01-16 17:00:00
25242,25243,2016,1,16,18,134.0,161.0,37.0,73.0,2300.0,4.0,-3.0,1019.0,-9.9,0.0,SE,1.2,Dongsi,2016-01-16 18:00:00
25243,25244,2016,1,16,19,132.0,152.0,39.0,73.0,2300.0,4.0,-2.9,1019.0,-9.8,0.0,ESE,2.2,Dongsi,2016-01-16 19:00:00
25244,25245,2016,1,16,20,149.0,161.0,37.0,73.0,2300.0,4.0,-2.7,1019.4,-9.6,0.0,SSW,1.1,Dongsi,2016-01-16 20:00:00
25245,25246,2016,1,16,21,149.0,151.0,37.0,59.0,2300.0,17.0,-2.7,1019.6,-8.2,0.0,E,1.9,Dongsi,2016-01-16 21:00:00
25246,25247,2016,1,16,22,139.0,147.0,33.0,48.0,1600.0,27.0,-2.7,1020.6,-8.6,0.0,NE,0.8,Dongsi,2016-01-16 22:00:00
25247,25248,2016,1,16,23,145.0,148.0,29.0,59.0,1800.0,14.0,-2.5,1020.7,-6.7,0.0,SE,1.3,Dongsi,2016-01-16 23:00:00
25248,25249,2016,1,17,0,146.0,147.0,21.0,67.0,1900.0,3.0,-3.8,1020.9,-5.6,0.2,ESE,1.6,Dongsi,2016-01-17 00:00:00
25249,25250,2016,1,17,1,141.0,143.0,28.0,69.0,2600.0,3.0,-4.4,1021.5,-6.7,0.2,SE,1.9,Dongsi,2016-01-17 01:00:00
25250,25251,2016,1,17,2,127.0,127.0,23.0,56.0,2200.0,5.0,-4.8,1021.8,-7.6,0.0,SE,1.9,Dongsi,2016-01-17 02:00:00
25251,25252,2016,1,17,3,93.0,93.0,15.0,49.0,1600.0,7.0,-5.0,1021.8,-8.2,0.0,SE,1.6,Dongsi,2016-01-17 03:00:00
25252,25253,2016,1,17,4,88.0,88.0,16.0,56.0,1300.0,5.0,-6.1,1021.7,-8.5,0.1,W,0.7,Dongsi,2016-01-17 04:00:00
25253,25254,2016,1,17,5,47.0,47.0,14.0,31.0,700.0,44.0,-5.2,1021.7,-15.3,0.0,NW,3.6,Dongsi,2016-01-17 05:00:00
25254,25255,2016,1,17,6,19.0,40.0,8.0,20.0,300.0,58.0,-6.9,1022.4,-18.3,0.0,NW,2.3,Dongsi,2016-01-17 06:00:00
25255,25256,2016,1,17,7,20.0,51.0,8.0,22.0,300.0,58.0,-7.2,1023.2,-19.4,0.0,NW,4.2,Dongsi,2016-01-17 07:00:00
25256,25257,2016,1,17,8,20.0,45.0,9.0,21.0,300.0,59.0,-8.3,1024.3,-20.1,0.0,NNW,3.3,Dongsi,2016-01-17 08:00:00
25257,25258,2016,1,17,9,17.0,43.0,10.0,20.0,300.0,61.0,-8.0,1024.9,-20.2,0.0,NNW,2.9,Dongsi,2016-01-17 09:00:00
25258,25259,2016,1,17,10,16.0,73.0,9.0,16.0,300.0,67.0,-7.0,1025.4,-19.9,0.0,NNE,3.1,Dongsi,2016-01-17 10:00:00
25259,25260,2016,1,17,11,21.0,42.0,9.0,15.0,300.0,70.0,-6.3,1025.0,-20.7,0.0,NW,3.8,Dongsi,2016-01-17 11:00:00
25260,25261,2016,1,17,12,23.0,38.0,10.0,16.0,300.0,70.0,-5.7,1024.2,-20.6,0.0,NNW,3.8,Dongsi,2016-01-17 12:00:00
25261,25262,2016,1,17,13,23.0,23.0,7.0,13.0,300.0,75.0,-5.7,1022.8,-21.8,0.0,NNE,4.0,Dongsi,2016-01-17 13:00:00
25262,25263,2016,1,17,14,16.0,21.0,6.0,11.0,200.0,80.0,-4.8,1021.8,-21.9,0.0,N,5.3,Dongsi,2016-01-17 14:00:00
25263,25264,2016,1,17,15,17.0,25.0,7.0,15.0,200.0,77.0,-4.4,1021.3,-20.6,0.0,NNE,3.2,Dongsi,2016-01-17 15:00:00
25264,25265,2016,1,17,16,15.0,25.0,7.0,15.0,200.0,78.0,-4.5,1021.4,-21.6,0.0,NNW,3.2,Dongsi,2016-01-17 16:00:00
25265,25266,2016,1,17,17,17.0,28.0,7.0,18.0,200.0,73.0,-5.4,1021.3,-22.4,0.0,NNW,3.2,Dongsi,2016-01-17 17:00:00
25266,25267,2016,1,17,18,9.0,32.0,6.0,20.0,200.0,70.0,-5.7,1021.9,-22.2,0.0,NNW,2.7,Dongsi,2016-01-17 18:00:00
25267,25268,2016,1,17,19,14.0,26.0,7.0,27.0,200.0,61.0,-5.9,1021.9,-21.5,0.0,NW,2.1,Dongsi,2016-01-17 19:00:00
25268,25269,2016,1,17,20,17.0,26.0,9.0,33.0,300.0,52.0,-6.6,1022.0,-21.7,0.0,NW,2.2,Dongsi,2016-01-17 20:00:00
25269,25270,2016,1,17,21,19.0,30.0,10.0,45.0,400.0,40.0,-7.8,1022.0,-20.6,0.0,NE,0.7,Dongsi,2016-01-17 21:00:00
25270,25271,2016,1,17,22,11.0,22.0,10.0,35.0,300.0,46.0,-6.7,1021.7,-21.1,0.0,NNW,2.6,Dongsi,2016-01-17 22:00:00
25271,25272,2016,1,17,23,19.0,19.0,8.0,27.0,200.0,56.0,-6.7,1021.8,-20.7,0.0,NW,2.9,Dongsi,2016-01-17 23:00:00
25272,25273,2016,1,18,0,12.0,12.0,5.0,20.0,100.0,65.0,-6.8,1021.3,-21.9,0.0,NW,3.5,Dongsi,2016-01-18 00:00:00
25273,25274,2016,1,18,1,7.0,65.0,2.0,13.0,100.0,72.0,-6.9,1021.5,-24.6,0.0,NW,5.0,Dongsi,2016-01-18 01:00:00
25274,25275,2016,1,18,2,3.0,56.0,2.0,12.0,100.0,56.0,-8.2,1022.1,-25.7,0.0,NW,6.4,Dongsi,2016-01-18 02:00:00
25275,25276,2016,1,18,3,4.0,49.0,3.0,12.0,200.0,46.0,-9.4,1022.8,-26.7,0.0,NW,4.5,Dongsi,2016-01-18 03:00:00
25276,25277,2016,1,18,4,3.0,34.0,3.0,12.0,200.0,59.0,-10.4,1022.8,-27.1,0.0,NW,4.2,Dongsi,2016-01-18 04:00:00
25277,25278,2016,1,18,5,5.0,30.0,3.0,9.0,200.0,61.0,-11.5,1023.2,-28.1,0.0,NW,4.9,Dongsi,2016-01-18 05:00:00
25278,25279,2016,1,18,6,8.0,26.0,5.0,11.0,300.0,58.0,-12.0,1023.5,-27.7,0.0,NW,2.9,Dongsi,2016-01-18 06:00:00
25279,25280,2016,1,18,7,7.0,31.0,6.0,18.0,300.0,51.0,-12.2,1023.5,-28.3,0.0,NNW,3.2,Dongsi,2016-01-18 07:00:00
25280,25281,2016,1,18,8,10.0,35.0,6.0,23.0,400.0,46.0,-12.5,1023.9,-28.5,0.0,NNW,3.1,Dongsi,2016-01-18 08:00:00
25281,25282,2016,1,18,9,9.0,39.0,6.0,21.0,400.0,49.0,-11.5,1024.5,-28.1,0.0,NW,3.2,Dongsi,2016-01-18 09:00:00
25282,25283,2016,1,18,10,6.0,41.0,5.0,14.0,300.0,58.0,-10.1,1024.6,-28.3,0.0,NW,4.0,Dongsi,2016-01-18 10:00:00
25283,25284,2016,1,18,11,9.0,45.0,5.0,11.0,300.0,62.0,-8.8,1024.1,-27.8,0.0,NW,4.4,Dongsi,2016-01-18 11:00:00
25284,25285,2016,1,18,12,9.0,81.0,4.0,8.0,300.0,65.0,-8.5,1023.6,-28.1,0.0,NW,6.8,Dongsi,2016-01-18 12:00:00
25285,25286,2016,1,18,13,5.0,117.0,4.0,7.0,300.0,66.0,-7.7,1023.1,-27.4,0.0,NW,4.6,Dongsi,2016-01-18 13:00:00
25286,25287,2016,1,18,14,12.0,76.0,4.0,9.0,300.0,66.0,-7.1,1022.5,-26.3,0.0,NW,5.0,Dongsi,2016-01-18 14:00:00
25287,25288,2016,1,18,15,12.0,77.0,4.0,9.0,300.0,65.0,-6.6,1022.4,-25.4,0.0,NNW,3.7,Dongsi,2016-01-18 15:00:00
25288,25289,2016,1,18,16,5.0,91.0,4.0,11.0,500.0,65.0,-6.1,1022.7,-24.4,0.0,NW,4.6,Dongsi,2016-01-18 16:00:00
25289,25290,2016,1,18,17,8.0,86.0,3.0,14.0,500.0,59.0,-6.5,1023.0,-24.3,0.0,NNW,5.0,Dongsi,2016-01-18 17:00:00
25290,25291,2016,1,18,18,12.0,99.0,3.0,18.0,500.0,54.0,-7.8,1023.6,-24.5,0.0,NNE,2.2,Dongsi,2016-01-18 18:00:00
25291,25292,2016,1,18,19,11.0,88.0,4.0,28.0,500.0,43.0,-8.7,1024.4,-24.4,0.0,N,2.0,Dongsi,2016-01-18 19:00:00
25292,25293,2016,1,18,20,12.0,45.0,3.0,22.0,400.0,49.0,-9.1,1024.8,-23.9,0.0,NE,1.3,Dongsi,2016-01-18 20:00:00
25293,25294,2016,1,18,21,12.0,49.0,3.0,28.0,400.0,42.0,-9.7,1025.5,-24.1,0.0,ENE,0.8,Dongsi,2016-01-18 21:00:00
25294,25295,2016,1,18,22,12.0,50.0,5.0,30.0,400.0,39.0,-11.2,1025.7,-22.7,0.0,ENE,0.8,Dongsi,2016-01-18 22:00:00
25295,25296,2016,1,18,23,12.0,49.0,5.0,37.0,500.0,27.0,-11.3,1025.8,-23.1,0.0,E,1.4,Dongsi,2016-01-18 23:00:00
25296,25297,2016,1,19,0,21.0,48.0,6.0,42.0,600.0,21.0,-12.5,1025.8,-22.8,0.0,E,1.1,Dongsi,2016-01-19 00:00:00
25297,25298,2016,1,19,1,24.0,45.0,9.0,50.0,700.0,13.0,-12.0,1025.6,-22.9,0.0,E,0.9,Dongsi,2016-01-19 01:00:00
25298,25299,2016,1,19,2,20.0,42.0,6.0,44.0,700.0,13.0,-12.3,1026.1,-22.6,0.0,NNE,0.9,Dongsi,2016-01-19 02:00:00
25299,25300,2016,1,19,3,19.0,41.0,6.0,54.0,800.0,5.0,-13.4,1026.4,-21.6,0.0,ENE,1.2,Dongsi,2016-01-19 03:00:00
25300,25301,2016,1,19,4,22.0,44.0,9.0,64.0,1200.0,2.0,-12.9,1025.9,-20.3,0.0,NNE,1.0,Dongsi,2016-01-19 04:00:00
25301,25302,2016,1,19,5,19.0,36.0,7.0,59.0,1000.0,2.0,-14.4,1025.8,-21.1,0.0,NE,1.0,Dongsi,2016-01-19 05:00:00
25302,25303,2016,1,19,6,15.0,33.0,6.0,63.0,1100.0,2.0,-14.4,1026.4,-22.3,0.0,ENE,1.1,Dongsi,2016-01-19 06:00:00
25303,25304,2016,1,19,7,24.0,56.0,7.0,64.0,1500.0,2.0,-15.1,1026.9,-21.7,0.0,ENE,1.4,Dongsi,2016-01-19 07:00:00
25304,25305,2016,1,19,8,22.0,63.0,9.0,67.0,1600.0,2.0,-15.2,1027.5,-22.2,0.0,ESE,0.7,Dongsi,2016-01-19 08:00:00
25305,25306,2016,1,19,9,26.0,58.0,11.0,64.0,1600.0,4.0,-10.9,1027.8,-22.5,0.0,ENE,1.5,Dongsi,2016-01-19 09:00:00
25306,25307,2016,1,19,10,34.0,75.0,13.0,58.0,1600.0,6.0,-8.5,1028.2,-21.6,0.0,ENE,1.4,Dongsi,2016-01-19 10:00:00
25307,25308,2016,1,19,11,61.0,106.0,28.0,51.0,1700.0,13.0,-5.6,1028.2,-20.9,0.0,S,0.7,Dongsi,2016-01-19 11:00:00
25308,25309,2016,1,19,12,104.0,158.0,35.0,47.0,1900.0,23.0,-4.7,1027.4,-22.2,0.0,WSW,2.5,Dongsi,2016-01-19 12:00:00
25309,25310,2016,1,19,13,110.0,158.0,32.0,45.0,1900.0,29.0,-3.4,1026.1,-22.7,0.0,SSW,1.9,Dongsi,2016-01-19 13:00:00
25310,25311,2016,1,19,14,118.0,154.0,28.0,45.0,1800.0,34.0,-2.2,1025.6,-22.2,0.0,SSW,1.7,Dongsi,2016-01-19 14:00:00
25311,25312,2016,1,19,15,67.0,102.0,20.0,36.0,1300.0,41.0,-1.5,1025.5,-22.2,0.0,SW,1.9,Dongsi,2016-01-19 15:00:00
25312,25313,2016,1,19,16,68.0,109.0,23.0,39.0,1300.0,37.0,-1.8,1025.8,-22.4,0.0,SSW,2.3,Dongsi,2016-01-19 16:00:00
25313,25314,2016,1,19,17,59.0,96.0,19.0,43.0,1200.0,33.0,-2.9,1026.2,-23.4,0.0,SW,2.1,Dongsi,2016-01-19 17:00:00
25314,25315,2016,1,19,18,61.0,113.0,20.0,51.0,1300.0,23.0,-3.4,1027.1,-22.1,0.0,WSW,2.4,Dongsi,2016-01-19 18:00:00
25315,25316,2016,1,19,19,76.0,125.0,22.0,51.0,1400.0,22.0,-3.6,1027.7,-21.8,0.0,WSW,2.5,Dongsi,2016-01-19 19:00:00
25316,25317,2016,1,19,20,101.0,139.0,27.0,63.0,1600.0,9.0,-5.4,1028.5,-20.7,0.0,SSE,0.9,Dongsi,2016-01-19 20:00:00
25317,25318,2016,1,19,21,120.0,151.0,28.0,69.0,1800.0,3.0,-7.2,1028.9,-18.5,0.0,NNE,0.8,Dongsi,2016-01-19 21:00:00
25318,25319,2016,1,19,22,118.0,156.0,30.0,75.0,2100.0,2.0,-8.1,1029.9,-18.5,0.0,E,0.9,Dongsi,2016-01-19 22:00:00
25319,25320,2016,1,19,23,106.0,156.0,32.0,78.0,2800.0,2.0,-9.4,1030.2,-17.9,0.0,ENE,1.1,Dongsi,2016-01-19 23:00:00
25320,25321,2016,1,20,0,116.0,163.0,34.0,80.0,3400.0,2.0,-9.6,1030.7,-17.6,0.0,E,1.0,Dongsi,2016-01-20 00:00:00
